epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1679,1.59719,2.8625,1.73386,0.59382,0.51689,0.54043,0.22551,1.98467,3.26715,2.55438,0.00062,0.00062,0.00062
2,18.6033,1.60767,1.58341,1.71301,0.00993,0.03378,0.00096,0.00031,4.61935,26.5753,8.17281,0.00125168,0.00125168,0.00125168
3,25.9017,1.56858,1.48717,1.69987,0.00204,0.01351,0.00059,0.00017,4.58702,24.7903,8.56612,0.00187492,0.00187492,0.00187492
4,33.2933,1.65292,1.50212,1.76538,0.01298,0.28378,0.01177,0.00251,3.52701,inf,11.6342,0.0019604,0.0019604,0.0019604
5,40.5484,1.59285,1.47224,1.67989,0.22107,0.03041,0.01858,0.00862,4.2371,4.41804,4.3185,0.0019472,0.0019472,0.0019472
6,47.8248,1.54646,1.35932,1.67847,0.25041,0.28041,0.22166,0.0863,2.10296,2.45288,2.61114,0.001934,0.001934,0.001934
7,55.0723,1.52623,1.30602,1.65048,0.37845,0.57095,0.40035,0.17126,1.82509,2.40889,2.30373,0.0019208,0.0019208,0.0019208
8,62.3555,1.49736,1.26072,1.61958,0.56458,0.63517,0.54531,0.24974,1.70829,1.97921,2.22105,0.0019076,0.0019076,0.0019076
9,69.6158,1.43778,1.20099,1.5789,0.71871,0.72973,0.74858,0.37759,1.62276,1.38023,2.0226,0.0018944,0.0018944,0.0018944
10,76.8467,1.45854,1.16718,1.59805,0.7438,0.60135,0.68871,0.33968,1.72096,1.55507,2.06024,0.0018812,0.0018812,0.0018812
11,84.0909,1.38753,1.10313,1.53274,0.80712,0.69272,0.75366,0.35539,1.84166,1.30569,2.17651,0.001868,0.001868,0.001868
12,91.4212,1.37737,1.08174,1.518,0.85456,0.8277,0.86185,0.4654,1.47364,1.03306,1.80226,0.0018548,0.0018548,0.0018548
13,98.7135,1.37126,1.10781,1.53199,0.70761,0.65541,0.62291,0.28169,1.86797,1.43095,2.22502,0.0018416,0.0018416,0.0018416
14,105.981,1.38967,1.1072,1.51291,0.81798,0.78947,0.84066,0.44277,1.52216,1.11479,1.83191,0.0018284,0.0018284,0.0018284
15,113.223,1.34307,1.03945,1.49608,0.89579,0.81317,0.89997,0.54029,1.33557,0.92473,1.62998,0.0018152,0.0018152,0.0018152
16,120.52,1.31707,0.9974,1.48554,0.87448,0.84729,0.91567,0.4998,1.47678,0.87129,1.72558,0.001802,0.001802,0.001802
17,127.834,1.31849,0.96269,1.46529,0.8212,0.78378,0.85329,0.46205,1.56175,1.05395,1.79415,0.0017888,0.0017888,0.0017888
18,135.007,1.31435,0.97858,1.45448,0.82288,0.7973,0.84335,0.42126,1.52468,1.04001,1.88291,0.0017756,0.0017756,0.0017756
19,142.271,1.28177,0.97216,1.45359,0.83638,0.81757,0.90185,0.53702,1.29942,0.93008,1.60147,0.0017624,0.0017624,0.0017624
20,149.543,1.28398,0.9383,1.44527,0.84933,0.81757,0.85747,0.49193,1.4417,1.01154,1.79215,0.0017492,0.0017492,0.0017492
21,156.948,1.28487,0.94474,1.44134,0.88261,0.83108,0.88695,0.52793,1.38286,0.86944,1.64157,0.001736,0.001736,0.001736
22,164.287,1.26205,0.91328,1.42664,0.84832,0.83139,0.88217,0.50733,1.42299,0.94968,1.7788,0.0017228,0.0017228,0.0017228
23,171.692,1.27805,0.89353,1.45031,0.84792,0.83108,0.88594,0.53042,1.37369,0.90098,1.68737,0.0017096,0.0017096,0.0017096
24,179.016,1.28959,0.91896,1.44846,0.83934,0.87162,0.88772,0.52326,1.3006,0.86989,1.62073,0.0016964,0.0016964,0.0016964
25,186.323,1.23428,0.87011,1.4064,0.85067,0.84677,0.88278,0.53195,1.3182,0.89743,1.61267,0.0016832,0.0016832,0.0016832
26,193.608,1.23145,0.88632,1.4099,0.86423,0.81719,0.89498,0.51583,1.40042,0.89063,1.67017,0.00167,0.00167,0.00167
27,200.829,1.25176,0.90075,1.42703,0.90617,0.84122,0.91087,0.55273,1.36915,0.79045,1.67478,0.0016568,0.0016568,0.0016568
28,208.112,1.24767,0.85657,1.41465,0.91096,0.86486,0.92225,0.57008,1.27207,0.77397,1.56216,0.0016436,0.0016436,0.0016436
29,215.421,1.21879,0.85646,1.3987,0.93428,0.86452,0.9495,0.60969,1.1971,0.71561,1.48314,0.0016304,0.0016304,0.0016304
30,222.768,1.17643,0.82131,1.36601,0.94208,0.85473,0.95545,0.61717,1.2233,0.68436,1.53325,0.0016172,0.0016172,0.0016172
31,230.055,1.16593,0.80215,1.36804,0.91245,0.88851,0.9298,0.61201,1.18024,0.6896,1.48727,0.001604,0.001604,0.001604
32,237.379,1.16403,0.7919,1.36268,0.89158,0.86486,0.91608,0.54823,1.32894,0.76527,1.62713,0.0015908,0.0015908,0.0015908
33,244.603,1.1716,0.79743,1.35918,0.93842,0.87516,0.95041,0.5997,1.25817,0.70843,1.53283,0.0015776,0.0015776,0.0015776
34,251.871,1.16064,0.78384,1.34962,0.9565,0.89865,0.95589,0.62365,1.20617,0.68613,1.51901,0.0015644,0.0015644,0.0015644
35,259.16,1.13573,0.74813,1.33755,0.9609,0.91323,0.95218,0.5896,1.27376,0.69837,1.56745,0.0015512,0.0015512,0.0015512
36,266.449,1.16163,0.76975,1.34539,0.96029,0.9223,0.9607,0.61847,1.24308,0.63757,1.54148,0.001538,0.001538,0.001538
37,273.701,1.14316,0.75386,1.33157,0.93746,0.91157,0.95929,0.61267,1.2361,0.63305,1.52525,0.0015248,0.0015248,0.0015248
38,280.947,1.12434,0.74986,1.32788,0.91667,0.89199,0.93706,0.60301,1.22907,0.68658,1.53809,0.0015116,0.0015116,0.0015116
39,288.235,1.12182,0.7433,1.32903,0.94069,0.85737,0.91977,0.58405,1.26388,0.74964,1.56924,0.0014984,0.0014984,0.0014984
40,295.551,1.11901,0.72633,1.31582,0.91284,0.88458,0.93191,0.60158,1.24908,0.66882,1.54371,0.0014852,0.0014852,0.0014852
41,302.829,1.13302,0.74938,1.32944,0.92259,0.89865,0.94224,0.6019,1.25463,0.66752,1.55827,0.001472,0.001472,0.001472
42,310.155,1.13273,0.75228,1.34935,0.95197,0.89865,0.96601,0.63069,1.19616,0.63062,1.49311,0.0014588,0.0014588,0.0014588
43,317.521,1.09019,0.71472,1.29929,0.92167,0.88514,0.93994,0.63619,1.17107,0.61668,1.47921,0.0014456,0.0014456,0.0014456
44,324.803,1.0594,0.68407,1.2804,0.9568,0.88851,0.95582,0.60981,1.20891,0.65035,1.50289,0.0014324,0.0014324,0.0014324
45,332.117,1.07672,0.70465,1.29769,0.92202,0.88176,0.94932,0.62121,1.20118,0.66685,1.49586,0.0014192,0.0014192,0.0014192
46,339.41,1.06929,0.68436,1.27923,0.92929,0.91554,0.95885,0.62532,1.20951,0.62415,1.50333,0.001406,0.001406,0.001406
47,346.751,1.06019,0.66973,1.28086,0.93794,0.92905,0.96416,0.63606,1.20017,0.59699,1.49592,0.0013928,0.0013928,0.0013928
48,354.05,1.0586,0.6902,1.28175,0.93321,0.89687,0.94905,0.61651,1.2136,0.64678,1.54905,0.0013796,0.0013796,0.0013796
